,status
status,1.0
spread1,0.5648379969876433
PPE,0.5310391538731207
spread2,0.4548421261086424
MDVP_Fo_Hz,0.3835351511879843
MDVP_Flo_Hz,0.38020043070127174
MDVP_Shimmer,0.3674298598935418
MDVP_APQ,0.3643157392231119
HNR,0.3615148666997222
Shimmer_APQ5,0.35114843593802664
MDVP_Shimmer_dB,0.35069690571747497
Shimmer_APQ3,0.34761696522403324
Shimmer_DDA,0.34760835453797745
D2,0.3402315098803638
MDVP_Jitter_Abs,0.33865309807934696
RPDE,0.30856725130270335
MDVP_PPQ,0.28869834669063865
MDVP_Jitter,0.2782195982792976
MDVP_RAP,0.26666755653419655
Jitter_DDP,0.2666460942115804
DFA,0.2317392727603787
NHR,0.18942931888728265
MDVP_Fhi_Hz,0.16613634721043585
